player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Aaron Mooy,MF,Australia,32-091,1990,4.0,9,6,4,4,1,6,8,75.0,2,6,4,2,3,12,9,0
Aaron Ramsey,MF,Wales,31-354,1990,3.0,2,0,0,2,0,0,2,0.0,2,4,1,3,0,2,2,1
Abdelhamid Sabiri,MF,Morocco,26-017,1996,1.5,2,0,1,1,0,1,3,33.3,2,3,1,2,5,7,3,0
Abdelkarim Hassan,DF,Qatar,29-109,1993,3.0,7,3,5,2,0,3,4,75.0,1,3,1,2,1,8,5,0
Abderrazak Hamdallah,FW,Morocco,31-363,1990,0.8,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Abdessamad Ezzalzouli,FW,Morocco,20-363,2001,1.0,3,2,2,1,0,1,1,100.0,0,4,1,3,0,3,3,0
Abdou Diallo,DF,Senegal,26-225,1996,3.7,2,2,2,0,0,2,2,100.0,0,1,1,0,1,3,10,0
Abdul Fatawu Issahaku,FW,Ghana,18-282,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,32-048,1990,2.2,1,1,0,0,1,1,2,50.0,1,0,0,0,1,2,0,0
Abdulelah Al-Amri,DF,Saudi Arabia,25-334,1997,2.0,1,0,1,0,0,0,1,0.0,1,2,1,1,4,5,10,0
Abdulellah Al-Malki,MF,Saudi Arabia,28-065,1994,1.9,3,1,3,0,0,1,3,33.3,2,3,0,3,2,5,4,1
Abdullah Madu,DF,Saudi Arabia,29-153,1993,0.5,1,0,1,0,0,0,0,,0,3,2,1,0,1,2,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-197,1995,0.4,3,3,2,1,0,1,5,20.0,4,0,0,0,0,3,0,0
Abolfazl Jalali,DF,IR Iran,24-172,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Achraf Dari,DF,Morocco,23-223,1999,1.4,1,0,1,0,0,1,3,33.3,2,6,3,3,4,5,3,0
Achraf Hakimi,DF,Morocco,24-041,1998,6.0,23,14,14,8,1,15,25,60.0,10,6,1,5,8,31,11,0
Adrien Rabiot,MF,France,27-256,1995,4.3,10,8,3,5,2,4,6,66.7,2,11,2,9,7,17,4,0
Agustín Canobbio,MF,Uruguay,24-075,1998,0.1,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
Ahmad Nourollahi,MF,IR Iran,29-316,1993,2.5,4,3,1,1,2,1,2,50.0,1,3,0,3,6,10,8,0
Ahmed Alaaeldin,FW,Qatar,29-318,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,25-321,1997,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Ajdin Hrustic,MF,Australia,26-163,1996,0.7,2,0,1,1,0,1,1,100.0,0,0,0,0,1,3,1,0
Akram Afif,FW,Qatar,26-027,1996,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Alan Franco,MF,Ecuador,24-116,1998,0.5,1,0,0,1,0,0,1,0.0,1,0,0,0,2,3,1,0
Alejandro Balde,DF,Spain,19-058,2003,1.4,6,6,2,2,2,2,2,100.0,0,2,0,2,0,6,2,0
Aleksandar Mitrović,FW,Serbia,28-090,1994,2.9,1,0,0,0,1,1,1,100.0,0,1,0,1,0,1,1,0
Alex Sandro,DF,Brazil,31-323,1991,2.1,8,3,6,2,0,2,2,100.0,0,1,0,1,3,11,9,0
Alex Telles,DF,Brazil,30-000,1992,0.7,2,2,0,1,1,1,1,100.0,0,0,0,0,0,2,1,0
Alexander Bah,DF,Denmark,25-006,1997,0.5,4,4,2,1,1,2,3,66.7,1,2,0,2,2,6,0,0
Alexander Djiku,DF,Ghana,28-128,1994,1.1,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,9,0
Alexis Mac Allister,MF,Argentina,23-356,1998,4.8,8,4,3,4,1,4,7,57.1,3,11,0,11,3,11,3,0
Alexis Vega,FW,Mexico,25-020,1997,2.1,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0
Ali Abdi,DF,Tunisia,28-360,1993,2.1,8,5,5,2,1,3,3,100.0,0,1,0,1,4,12,13,1
Ali Al Hassan,MF,Saudi Arabia,25-286,1997,0.5,2,1,0,2,0,1,1,100.0,0,2,1,1,0,2,1,0
Ali Al-Bulaihi,DF,Saudi Arabia,33-024,1989,2.4,4,2,2,2,0,2,4,50.0,2,1,1,0,3,7,1,0
Ali Assadalla,MF,Qatar,29-330,1993,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Ali Gholizadeh,MF,IR Iran,26-280,1996,2.2,0,0,0,0,0,0,2,0.0,2,5,0,5,3,3,2,0
Ali Karimi,MF,IR Iran,28-307,1994,1.1,3,3,3,0,0,1,2,50.0,1,0,0,0,3,6,1,0
Ali Maâloul,DF,Tunisia,32-348,1990,1.0,1,1,0,1,0,1,1,100.0,0,2,0,2,0,1,4,0
Alidu Seidu,DF,Ghana,22-194,2000,1.7,6,4,5,1,0,2,2,100.0,0,5,0,5,0,6,3,0
Alireza Beiranvand,GK,IR Iran,30-085,1992,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Alireza Jahanbakhsh,MF,IR Iran,29-126,1993,0.7,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,0,0
Alisson,GK,Brazil,30-074,1992,4.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
