player,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
Aaron Mooy,MF,Australia,32-091,1990,4.0,5,1.25,2,2,0,0,1,0,0,0.00,0,0,0,0,0,0
Aaron Ramsey,MF,Wales,31-354,1990,3.0,3,1.02,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Abdelhamid Sabiri,MF,Morocco,26-017,1996,1.5,4,3.43,2,1,0,1,0,0,1,0.86,0,1,0,0,0,0
Abdelkarim Hassan,DF,Qatar,29-109,1993,3.0,4,1.33,4,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Abderrazak Hamdallah,FW,Morocco,31-363,1990,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdessamad Ezzalzouli,FW,Morocco,20-363,2001,1.0,4,5.63,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Abdou Diallo,DF,Senegal,26-225,1996,3.7,2,0.54,2,0,0,0,0,0,1,0.27,1,0,0,0,0,0
Abdul Fatawu Issahaku,FW,Ghana,18-282,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,32-048,1990,2.2,2,0.92,0,1,0,0,0,1,0,0.00,0,0,0,0,0,0
Abdulelah Al-Amri,DF,Saudi Arabia,25-334,1997,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdulellah Al-Malki,MF,Saudi Arabia,28-065,1994,1.9,2,1.03,2,0,0,0,0,0,1,0.52,1,0,0,0,0,0
Abdullah Madu,DF,Saudi Arabia,29-153,1993,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-197,1995,0.4,1,2.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abolfazl Jalali,DF,IR Iran,24-172,1998,0.2,1,4.74,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Achraf Dari,DF,Morocco,23-223,1999,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Achraf Hakimi,DF,Morocco,24-041,1998,6.0,11,1.94,9,0,1,0,1,0,1,0.18,1,0,0,0,0,0
Adrien Rabiot,MF,France,27-256,1995,4.3,10,2.32,9,0,0,1,0,0,1,0.23,1,0,0,0,0,0
Agustín Canobbio,MF,Uruguay,24-075,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ahmad Nourollahi,MF,IR Iran,29-316,1993,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ahmed Alaaeldin,FW,Qatar,29-318,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,25-321,1997,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ajdin Hrustic,MF,Australia,26-163,1996,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Akram Afif,FW,Qatar,26-027,1996,3.0,7,2.33,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Alan Franco,MF,Ecuador,24-116,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alejandro Balde,DF,Spain,19-058,2003,1.4,2,1.75,1,0,0,0,1,0,1,0.87,1,0,0,0,0,0
Aleksandar Mitrović,FW,Serbia,28-090,1994,2.9,3,1.03,1,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Alex Sandro,DF,Brazil,31-323,1991,2.1,6,3.09,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Alex Telles,DF,Brazil,30-000,1992,0.7,1,1.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexander Bah,DF,Denmark,25-006,1997,0.5,4,7.83,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Alexander Djiku,DF,Ghana,28-128,1994,1.1,1,0.93,1,0,0,0,0,0,1,0.93,1,0,0,0,0,0
Alexis Mac Allister,MF,Argentina,23-356,1998,4.8,12,2.67,12,0,0,0,0,0,1,0.22,1,0,0,0,0,0
Alexis Vega,FW,Mexico,25-020,1997,2.1,4,1.87,2,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Ali Abdi,DF,Tunisia,28-360,1993,2.1,3,1.44,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Al Hassan,MF,Saudi Arabia,25-286,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Al-Bulaihi,DF,Saudi Arabia,33-024,1989,2.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Assadalla,MF,Qatar,29-330,1993,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Gholizadeh,MF,IR Iran,26-280,1996,2.2,7,3.18,5,1,0,1,0,0,1,0.45,1,0,0,0,0,0
Ali Karimi,MF,IR Iran,28-307,1994,1.1,1,0.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Maâloul,DF,Tunisia,32-348,1990,1.0,2,2.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Alidu Seidu,DF,Ghana,22-194,2000,1.7,2,1.16,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Alireza Beiranvand,GK,IR Iran,30-085,1992,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alireza Jahanbakhsh,MF,IR Iran,29-126,1993,0.7,4,6.10,3,0,0,1,0,0,2,3.05,1,0,0,1,0,0
Alisson,GK,Brazil,30-074,1992,4.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alistair Johnston,DF,Canada,24-068,1998,3.0,8,2.67,6,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Almoez Ali,FW,Qatar,26-118,1996,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alphonso Davies,MF,Canada,22-043,2000,3.0,8,2.67,6,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Amadou Onana,MF,Belgium,21-121,2001,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-029,1995,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andreas Christensen,DF,Denmark,26-249,1996,3.0,2,0.67,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Andreas Cornelius,FW,Denmark,29-274,1993,1.0,5,4.89,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Andreas Skov Olsen,FW,Denmark,22-351,1999,1.5,3,2.05,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Andrej Kramarić,FW,Croatia,31-179,1991,4.6,8,1.74,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Andries Noppert,GK,Netherlands,28-252,1994,5.3,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
